seqnames	start	end	width	CpG	X25t_UVB.mu	X25t_UA.mu	X25t_UVB..25t_UA.diff	X25t_UVB..25t_UA.pval	annotation	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS
chr1	9548073	9548072	0	1	0.3142138	0.0646132	-0.2496006	0.0299455	Promoter (<=1kb)	9548046	9577968	29923	1	Adhfe1	27
chr1	9548076	9548075	0	1	0.1918749	0.0169174	-0.1749575	0.0483684	Promoter (<=1kb)	9548046	9577968	29923	1	Adhfe1	30
chr1	9548109	9548108	0	1	0.4336741	0.0175522	-0.4161218	0.0002669	Promoter (<=1kb)	9548046	9577968	29923	1	Adhfe1	63
chr1	9548111	9548110	0	1	0.4037259	0.1075524	-0.2961735	0.0192195	Promoter (<=1kb)	9548046	9577968	29923	1	Adhfe1	65
chr1	9548199	9548198	0	1	0.0253477	0.3961239	0.3707762	0.0081674	Promoter (<=1kb)	9548046	9577968	29923	1	Adhfe1	153
chr1	9968889	9968888	0	1	0.7620077	0.9415016	0.1794939	0.049662	Promoter (1-2kb)	9960163	9967485	7323	2	Tcf24	-1404
chr1	10311563	10311562	0	1	0.6392918	0.2796025	-0.3596894	0.0164783	Distal Intergenic	10137507	10232670	95164	2	Arfgef1	-78893
chr1	10993547	10993546	0	1	0.3110999	0.0209593	-0.2901406	0.0411057	Promoter (<=1kb)	10993465	11303682	310218	1	Prex2	82
chr1	11329354	11329353	0	1	0.2253292	0.5610035	0.3356742	0.0408756	Distal Intergenic	11414105	11975902	561798	1	A830018L16Rik	-84752
chr1	11329519	11329518	0	1	0.3778844	0.159554	-0.2183304	0.0475363	Distal Intergenic	11414105	11975902	561798	1	A830018L16Rik	-84587
chr1	12600394	12600393	0	1	0.9297546	0.6479207	-0.281834	0.0303547	Distal Intergenic	12667563	12673090	5528	1	Gm17644	-67170
chr1	13074269	13074268	0	1	0.6056365	0.8875859	0.2819494	0.0046192	Distal Intergenic	13113428	13127163	13736	2	Prdm14	52895
chr1	13076566	13076565	0	1	0.3693932	0.8409584	0.4715651	0.0227199	Distal Intergenic	13113428	13127163	13736	2	Prdm14	50598
chr1	13104284	13104283	0	1	0.2945293	0.8163662	0.5218369	0.0059318	Distal Intergenic	13113428	13127163	13736	2	Prdm14	22880
chr1	13105582	13105581	0	1	0.846613	0.5159154	-0.3306976	0.0222946	Distal Intergenic	13113428	13127163	13736	2	Prdm14	21582
chr1	13126530	13126529	0	1	0.7906261	0.2637258	-0.5269003	0.000112	Promoter (<=1kb)	13113428	13127163	13736	2	Prdm14	634
chr1	13126669	13126668	0	1	0.1184308	0.4552099	0.3367791	0.0481178	Promoter (<=1kb)	13113428	13127163	13736	2	Prdm14	495
chr1	13457696	13457695	0	1	0.2139436	0.6601803	0.4462367	0.0118943	Distal Intergenic	13139105	13374083	234979	2	Ncoa2	-83613
chr1	13558767	13558766	0	1	0.850122	0.1294202	-0.7207018	0.0016079	Distal Intergenic	13564693	13589910	25218	2	Tram1	31144
chr1	13588711	13588710	0	1	0.0553876	0.3352404	0.2798528	0.0085008	Promoter (1-2kb)	13564693	13589910	25218	2	Tram1	1200
chr1	13659696	13659695	0	1	0.4137172	0.8774122	0.463695	0.0355692	Promoter (<=1kb)	13625900	13660509	34610	2	Lactb2	814
chr1	13780010	13780009	0	1	0.6387596	0.8806166	0.241857	0.0421957	Distal Intergenic	13785685	13786929	1245	2	Gm5523	6920
chr1	13786154	13786153	0	1	0.7573066	0.4021755	-0.3551311	0.0160761	Promoter (<=1kb)	13785685	13786929	1245	2	Gm5523	776
chr1	14001645	14001644	0	1	0.0295424	0.2966781	0.2671357	0.0412757	Distal Intergenic	13785685	13786929	1245	2	Gm5523	-214716
chr1	14484409	14484408	0	1	0.3329024	0.6976245	0.3647221	0.0473687	Distal Intergenic	14168958	14310199	141242	2	Eya1	-174210
chr1	14503407	14503406	0	1	0.3197973	0.0863194	-0.2334779	0.0353235	Distal Intergenic	14168958	14310199	141242	2	Eya1	-193208
chr1	14508910	14508909	0	1	0.5543001	0.31967	-0.2346302	0.0308545	Distal Intergenic	14168958	14310199	141242	2	Eya1	-198711
chr1	14632258	14632257	0	1	0.3932326	0.7337408	0.3405082	0.0410428	Distal Intergenic	14753346	14755966	2621	2	Msc	123709
chr1	14754206	14754205	0	1	0.3335153	0.65179	0.3182747	0.044796	Promoter (1-2kb)	14753346	14755966	2621	2	Msc	1761
chr1	14754405	14754404	0	1	0.071959	0.5420831	0.4701241	0.0438704	Promoter (1-2kb)	14753346	14755966	2621	2	Msc	1562
chr1	14755316	14755315	0	1	0.2033073	0.0148349	-0.1884724	0.0363287	Promoter (<=1kb)	14753346	14755966	2621	2	Msc	651
chr1	14918767	14918766	0	1	0.0229071	0.2716364	0.2487293	0.0337342	Promoter (<=1kb)	14872648	14918862	46215	2	Trpa1	96
chr1	14918854	14918853	0	1	0.4177884	0.1325584	-0.28523	0.0484331	Promoter (<=1kb)	14872648	14918862	46215	2	Trpa1	9
chr1	14918902	14918901	0	1	0.1963891	0.4620202	0.2656311	0.0403791	Promoter (<=1kb)	14872648	14918862	46215	2	Trpa1	-40
chr1	15935871	15935870	0	1	0.707285	0.9203489	0.2130639	0.0471556	Distal Intergenic	15853862	15892722	38861	2	Sbspon	-43149
chr1	16053787	16053786	0	1	0.4798701	0.0412102	-0.4386599	0.021184	Distal Intergenic	16065979	16093325	27347	2	4930444P10Rik	39539
chr1	16092958	16092957	0	1	0.0149686	0.2324457	0.2174771	0.0359208	Promoter (<=1kb)	16065979	16093325	27347	2	4930444P10Rik	368
chr1	16798801	16798800	0	1	0.2587325	0.7261306	0.4673982	0.0146502	Distal Intergenic	16688456	16709605	21150	1	Ly96	110345
chr1	17122934	17122933	0	1	0.3410485	0.6888598	0.3478112	0.0338234	Distal Intergenic	17145373	17164270	18898	1	Gdap1	-22440
chr1	17123151	17123150	0	1	0.4956414	0.7851246	0.2894832	0.0154347	Distal Intergenic	17145373	17164270	18898	1	Gdap1	-22223
chr1	17124553	17124552	0	1	0.1462349	0.5625969	0.4163619	0.0321092	Distal Intergenic	17145373	17164270	18898	1	Gdap1	-20821
chr1	17133947	17133946	0	1	0.7948261	0.3327326	-0.4620935	0.0461647	Distal Intergenic	17145373	17164270	18898	1	Gdap1	-11427
chr1	17351978	17351977	0	1	0.0253477	0.3341635	0.3088158	0.0358856	Distal Intergenic	17145373	17164270	18898	1	Gdap1	206605
chr1	18058006	18058005	0	1	0.0164436	0.2408714	0.2244278	0.0464345	Distal Intergenic	18115191	18137051	21861	2	Crisp4	79046
chr1	18223963	18223962	0	1	0.0501984	0.4319624	0.381764	0.0479889	Promoter (<=1kb)	18210053	18223564	13512	2	Defb44-ps	-399
chr1	18610357	18610356	0	1	0.688402	0.2775494	-0.4108526	0.0081313	Distal Intergenic	18260524	18265138	4615	2	Gm15386	-345219
chr1	18610835	18610834	0	1	0.6354669	0.916977	0.2815101	0.0375421	Distal Intergenic	18260524	18265138	4615	2	Gm15386	-345697
chr1	18977165	18977164	0	1	0.9070728	0.3323304	-0.5747424	0.047667	Distal Intergenic	19103022	19166332	63311	1	Tfap2d	-125858
chr1	19088190	19088189	0	1	0.3659263	0.0804536	-0.2854727	0.0224212	Distal Intergenic	19103022	19166332	63311	1	Tfap2d	-14833
chr1	19104746	19104745	0	1	0.2987216	0.0135354	-0.2851861	0.0304207	Promoter (1-2kb)	19103022	19166332	63311	1	Tfap2d	1724
chr1	21240879	21240878	0	1	0.3338847	0.7605342	0.4266495	0.027342	Promoter (<=1kb)	21240585	21265575	24991	1	Gsta3	294
chr1	22269462	22269461	0	1	0.7941509	0.2519447	-0.5422062	0.0062951	Distal Intergenic	21398403	21961942	563540	2	Kcnq5	-307520
chr1	23062247	23062246	0	1	0.3769745	0.1193424	-0.2576322	0.0270764	Distal Intergenic	23100474	23102253	1780	2	4933415F23Rik	40007
chr1	23382327	23382326	0	1	0.4554299	0.1936105	-0.2618194	0.0054442	Promoter (<=1kb)	23366424	23383175	16752	2	Ogfrl1	849
chr1	23385186	23385185	0	1	0.4226038	0.8994114	0.4768076	0.0062309	Promoter (2-3kb)	23366424	23383175	16752	2	Ogfrl1	-2011
chr1	24159289	24159288	0	1	0.3701034	0.8526678	0.4825644	0.016794	Distal Intergenic	24177610	24252738	75129	1	Col9a1	-18322
chr1	24649434	24649433	0	1	0.0404684	0.6218333	0.5813649	0.0078153	Distal Intergenic	24678544	24766301	87758	1	Lmbrd1	-29111
chr1	27538947	27538946	0	1	0.2965138	0.8479362	0.5514224	0.0007966	Distal Intergenic	26681801	26687460	5660	2	4931408C20Rik	-851487
chr1	28109601	28109600	0	1	0.6373575	0.1068036	-0.5305539	0.002073	Distal Intergenic	28776122	28780252	4131	2	Gm597	670652
chr1	28109823	28109822	0	1	0.850122	0.0732309	-0.7768912	0.0016469	Distal Intergenic	28776122	28780252	4131	2	Gm597	670430
chr1	30585254	30585253	0	1	0.9380324	0.6972247	-0.2408077	0.0485617	Distal Intergenic	30802342	30863256	60915	2	Phf3	278003
chr1	30610473	30610472	0	1	0.8231538	0.2641373	-0.5590165	0.0281095	Distal Intergenic	30802342	30863256	60915	2	Phf3	252784
chr1	30873958	30873957	0	1	0.5914009	0.0329109	-0.55849	0.0450754	Distal Intergenic	30802342	30863256	60915	2	Phf3	-10702
chr1	31073324	31073323	0	1	0.6437337	0.4048498	-0.2388839	0.0484288	Distal Intergenic	31176435	31204725	28291	1	Lgsn	-103112
chr1	31421255	31421254	0	1	0.2045185	0.6668327	0.4623142	0.014906	Distal Intergenic	31264847	31268061	3215	1	Gm4850	156408
chr1	33023090	33023089	0	1	0.2523326	0.5524164	0.3000838	0.0340212	Distal Intergenic	32543546	32547293	3748	2	Gm5415	-475797
chr1	33670862	33670861	0	1	0.3074714	0.1115208	-0.1959506	0.0374386	Promoter (1-2kb)	33669824	33670712	889	1	1700001G17Rik	1038
chr1	33672865	33672864	0	1	0.0297141	0.5602522	0.5305381	0.0008135	Distal Intergenic	33669824	33670712	889	1	1700001G17Rik	3041
chr1	33672868	33672867	0	1	0.1937576	0.6673924	0.4736348	0.0173663	Distal Intergenic	33669824	33670712	889	1	1700001G17Rik	3044
chr1	33909570	33909569	0	1	0.1657752	0.4956997	0.3299245	0.0119772	Promoter (1-2kb)	33908225	34308662	400438	1	Dst	1345
chr1	34367909	34367908	0	1	0.4257796	0.7252963	0.2995167	0.0392959	Distal Intergenic	34433121	34433199	79	2	Mir5103	65291
chr1	34433026	34433025	0	1	0.5209443	0.1280931	-0.3928512	0.0306032	Promoter (<=1kb)	34433121	34433199	79	2	Mir5103	174
chr1	34433050	34433049	0	1	0.3327389	0.0329109	-0.299828	0.0472318	Promoter (<=1kb)	34433121	34433199	79	2	Mir5103	150
chr1	34484735	34484734	0	1	0.0185949	0.3112808	0.2926858	0.0335314	Distal Intergenic	34498430	34503062	4633	1	Prss39	-13696
chr1	34602711	34602710	0	1	0.4236897	0.1115847	-0.312105	0.0190299	Distal Intergenic	34579693	34590944	11252	1	Amer3	23018
chr1	35232733	35232732	0	1	0.3362544	0.025818	-0.3104365	0.040315	Distal Intergenic	34849959	34879585	29627	1	Plekhb2	382774
chr1	35266662	35266661	0	1	0.4537136	0.8352591	0.3815455	0.0315668	Distal Intergenic	34849959	34879585	29627	1	Plekhb2	416703
chr1	35385342	35385341	0	1	0.4205292	0.7581987	0.3376696	0.0445047	Distal Intergenic	34849959	34879585	29627	1	Plekhb2	535383
chr1	35822312	35822311	0	1	0.2865138	0.7409389	0.454425	0.0298306	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-246089
chr1	35822321	35822320	0	1	0.192664	0.7542998	0.5616358	0.00031	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-246080
chr1	35822611	35822610	0	1	0.775637	0.9684924	0.1928554	0.0329414	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-245790
chr1	35822850	35822849	0	1	0.5511214	0.9584983	0.4073769	0.0137564	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-245551
chr1	35875319	35875318	0	1	0.08924	0.5427982	0.4535582	0.0369494	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-193082
chr1	35875786	35875785	0	1	0.2401708	0.4497002	0.2095295	0.0455253	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-192615
chr1	35890599	35890598	0	1	0.071959	0.6742872	0.6023281	0.0269983	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-177802
chr1	35931326	35931325	0	1	0.6494847	0.2805579	-0.3689268	0.0329941	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-137075
chr1	35962074	35962073	0	1	0.2970135	0.6355561	0.3385426	0.0401655	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-106327
chr1	36013994	36013993	0	1	0.8948728	0.4201986	-0.4746741	0.0399176	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-54407
chr1	36018065	36018064	0	1	0.9491143	0.4445751	-0.5045391	0.002361	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-50336
chr1	36054837	36054836	0	1	0.5914009	0.0365926	-0.5548083	0.0477997	Distal Intergenic	36068400	36106446	38047	1	Hs6st1	-13564
chr1	36130471	36130470	0	1	0.6915772	0.3565918	-0.3349854	0.0477629	Distal Intergenic	36144252	36144313	62	2	Mir6897	13843
chr1	36131120	36131119	0	1	0.938398	0.5895576	-0.3488403	0.0042449	Distal Intergenic	36144252	36144313	62	2	Mir6897	13194
chr1	36132056	36132055	0	1	0.2080855	0.5971024	0.3890169	0.0281846	Distal Intergenic	36144252	36144313	62	2	Mir6897	12258
chr1	36276258	36276257	0	1	0.017231	0.2631928	0.2459617	0.0227408	Promoter (2-3kb)	36264602	36273425	8824	2	Neurl3	-2833
chr1	36305229	36305228	0	1	0.1284819	0.4860445	0.3575626	0.0462567	Promoter (2-3kb)	36307733	36324029	16297	1	Arid5a	-2505
chr1	36446652	36446651	0	1	0.6904733	0.2113796	-0.4790938	0.0395632	Promoter (1-2kb)	36423186	36445239	22054	2	Lman2l	-1413
chr1	36462407	36462406	0	1	0.5777804	0.0732309	-0.5045495	0.0176166	Distal Intergenic	36471597	36508776	37180	1	Cnnm4	-9191
chr1	36473639	36473638	0	1	0.066462	0.407107	0.340645	0.0161136	Promoter (2-3kb)	36471597	36508776	37180	1	Cnnm4	2042
chr1	36943796	36943795	0	1	0.2558464	0.6311369	0.3752905	0.0485155	Distal Intergenic	36792189	36939527	147339	2	Tmem131	-4269
chr1	36962921	36962920	0	1	0.7613075	0.5461992	-0.2151083	0.0398705	Distal Intergenic	36792189	36939527	147339	2	Tmem131	-23394
chr1	36978643	36978642	0	1	0.850122	0.2641373	-0.5859847	0.046726	Distal Intergenic	36792189	36939527	147339	2	Tmem131	-39116
chr1	36989954	36989953	0	1	0.9602519	0.6681615	-0.2920904	0.0326823	Distal Intergenic	36792189	36939527	147339	2	Tmem131	-50427
chr1	36996898	36996897	0	1	0.5624431	0.1547201	-0.4077229	0.0180017	Distal Intergenic	36792189	36939527	147339	2	Tmem131	-57371
chr1	37057108	37057107	0	1	0.5838686	0.240307	-0.3435616	0.044629	Distal Intergenic	36792189	36939527	147339	2	Tmem131	-117581
chr1	37077244	37077243	0	1	0.1878125	0.5049366	0.3171241	0.0071583	Distal Intergenic	36792189	36939527	147339	2	Tmem131	-137717
chr1	37541721	37541720	0	1	0.0587655	0.7087841	0.6500185	0.000908	Promoter (<=1kb)	37439340	37541016	101677	2	Mgat4a	-705
chr1	37718604	37718603	0	1	0.5523956	0.085406	-0.4669896	0.0023123	Promoter (1-2kb)	37611676	37719811	108136	2	2010300C02Rik	1208
chr1	37867943	37867942	0	1	0.3792043	0.1618494	-0.2173549	0.0486937	Promoter (2-3kb)	37754572	37865298	110727	2	Tsga10	-2645
chr1	37869061	37869060	0	1	0.0599595	0.3100066	0.2500471	0.0094481	Distal Intergenic	37872206	37876298	4093	1	Lipt1	-3146
chr1	37873188	37873187	0	1	0.0501984	0.5693433	0.5191449	0.006213	Promoter (<=1kb)	37872206	37876298	4093	1	Lipt1	982
chr1	37995582	37995581	0	1	0.1613675	0.4996912	0.3383237	0.0285629	Promoter (1-2kb)	37983867	37997208	13342	2	Txndc9	1627
chr1	38132933	38132932	0	1	0.6151561	0.8239412	0.2087852	0.0444851	Distal Intergenic	38052786	38129662	76877	2	Rev1	-3271
chr1	38154095	38154094	0	1	0.7200827	0.9517209	0.2316382	0.0192359	Distal Intergenic	38052786	38129662	76877	2	Rev1	-24433
chr1	38154455	38154454	0	1	0.8773209	0.3327326	-0.5445883	0.0344939	Distal Intergenic	38052786	38129662	76877	2	Rev1	-24793
chr1	38154485	38154484	0	1	0.850122	0.2641373	-0.5859847	0.046726	Distal Intergenic	38052786	38129662	76877	2	Rev1	-24823
chr1	38626092	38626091	0	1	0.4364687	0.2301563	-0.2063124	0.048342	Promoter (1-2kb)	38175991	38627244	451254	2	Aff3	1153
chr1	38626514	38626513	0	1	0.4581425	0.0930005	-0.365142	0.0138328	Promoter (<=1kb)	38175991	38627244	451254	2	Aff3	731
chr1	38628901	38628900	0	1	0.1984001	0.4968108	0.2984107	0.0175547	Promoter (1-2kb)	38175991	38627244	451254	2	Aff3	-1657
chr1	38629566	38629565	0	1	0.8948728	0.347827	-0.5470457	0.0273256	Promoter (2-3kb)	38175991	38627244	451254	2	Aff3	-2322
chr1	38639980	38639979	0	1	0.2829465	0.7116625	0.428716	0.0216826	Distal Intergenic	38175991	38627244	451254	2	Aff3	-12736
chr1	38770332	38770331	0	1	0.6249596	0.1549865	-0.4699731	0.0138107	Distal Intergenic	38794509	38821215	26707	2	Lonrf2	50884
chr1	38837042	38837041	0	1	0.0488085	0.3007497	0.2519412	0.0182584	Distal Intergenic	38794509	38821215	26707	2	Lonrf2	-15827
chr1	38987190	38987189	0	1	0.0758366	0.3686198	0.2927832	0.04512	Promoter (<=1kb)	38987814	38997236	9423	1	Pdcl3	-625
chr1	39001690	39001689	0	1	0.8037963	0.4932458	-0.3105505	0.0323609	Distal Intergenic	38987814	38997236	9423	1	Pdcl3	13876
chr1	39195043	39195042	0	1	0.0445366	0.2223102	0.1777736	0.0262924	Promoter (<=1kb)	39194272	39363240	168969	1	Npas2	771
chr1	39195046	39195045	0	1	0.0267122	0.1724077	0.1456955	0.0460892	Promoter (<=1kb)	39194272	39363240	168969	1	Npas2	774
chr1	39195955	39195954	0	1	0.1527466	0.3712747	0.2185281	0.0477004	Promoter (1-2kb)	39194272	39363240	168969	1	Npas2	1683
chr1	39477965	39477964	0	1	0.0107162	0.1475838	0.1368676	0.0483666	Promoter (<=1kb)	39371496	39478747	107252	2	Tbc1d8	783
chr1	39480974	39480973	0	1	0.0501984	0.410236	0.3600375	0.040647	Promoter (2-3kb)	39371496	39478747	107252	2	Tbc1d8	-2227
chr1	39534977	39534976	0	1	0.1751255	0.4988321	0.3237066	0.0370663	Promoter (<=1kb)	39535802	39546877	11076	1	Cnot11	-826
chr1	39613092	39613091	0	1	0.1165065	0.5775354	0.4610289	0.0049903	Distal Intergenic	39551296	39577347	26052	2	Rnf149	-35745
chr1	39762524	39762523	0	1	0.7972896	0.5566318	-0.2406578	0.0406884	Distal Intergenic	39665301	39720989	55689	2	Rfx8	-41535
chr1	39893600	39893599	0	1	0.2188613	0.713027	0.4941656	0.0435466	Distal Intergenic	39900913	40026310	125398	1	Map4k4	-7314
chr1	39899861	39899860	0	1	0.9363926	0.6957208	-0.2406718	0.044854	Promoter (1-2kb)	39900913	40026310	125398	1	Map4k4	-1053
chr1	40064717	40064716	0	1	0.5968634	0.904369	0.3075056	0.0358243	Distal Intergenic	40084768	40125226	40459	1	Il1r2	-20052
chr1	40064893	40064892	0	1	0.2953287	0.8426178	0.5472891	0.0004149	Distal Intergenic	40084768	40125226	40459	1	Il1r2	-19876
chr1	40225907	40225906	0	1	0.1437585	0.6657538	0.5219953	0.0002409	Promoter (<=1kb)	40225080	40316177	91098	1	Il1r1	827
chr1	40418649	40418648	0	1	0.1341748	0.370792	0.2366171	0.0123817	Distal Intergenic	40429570	40465414	35845	1	Il1rl1	-10922
chr1	40429591	40429590	0	1	0.9503243	0.7496296	-0.2006947	0.0371588	Promoter (<=1kb)	40429570	40465414	35845	1	Il1rl1	21
chr1	40791010	40791009	0	1	0.1712581	0.0108342	-0.1604239	0.0415753	Promoter (<=1kb)	40772040	40790657	18618	2	Mfsd9	-353
chr1	41128730	41128729	0	1	0.850122	0.2641373	-0.5859847	0.046726	Distal Intergenic	41167560	41181252	13693	2	4930448I06Rik	52523
chr1	41182997	41182996	0	1	0.476917	0.9426549	0.4657379	0.0369471	Promoter (1-2kb)	41167560	41181252	13693	2	4930448I06Rik	-1745
chr1	41264727	41264726	0	1	0.2056739	0.0137141	-0.1919597	0.0423837	Distal Intergenic	41167560	41181252	13693	2	4930448I06Rik	-83475
chr1	42695087	42695086	0	1	0.5914009	0.0278604	-0.5635405	0.0417469	Promoter (<=1kb)	42648200	42694825	46626	2	Pantr1	-262
chr1	42695218	42695217	0	1	0.0255846	0.3088085	0.2832239	0.0342241	Promoter (<=1kb)	42648200	42694825	46626	2	Pantr1	-393
chr1	42698342	42698341	0	1	0.2526576	0.0175522	-0.2351053	0.0197434	Promoter (1-2kb)	42697146	42700209	3064	1	Pou3f3	1196
chr1	42703814	42703813	0	1	0.0760257	0.3974332	0.3214075	0.0194172	Distal Intergenic	42700336	42703176	2841	1	2900092D14Rik	3478
chr1	42713296	42713295	0	1	0.2402939	0.0540855	-0.1862084	0.0385461	Promoter (<=1kb)	42707063	42713454	6392	2	Pantr2	159
chr1	42917887	42917886	0	1	0.1905876	0.8232252	0.6326376	0.0004927	Distal Intergenic	42952872	43035449	82578	1	Gpr45	-34986
chr1	43269699	43269698	0	1	0.59838	0.3007497	-0.2976303	0.0349088	Distal Intergenic	43123071	43196761	73691	2	Fhl2	-72938
chr1	43269833	43269832	0	1	0.085279	0.3339274	0.2486484	0.0108951	Distal Intergenic	43123071	43196761	73691	2	Fhl2	-73072
chr1	43638190	43638189	0	1	0.017231	0.4869976	0.4697665	0.0001082	Distal Intergenic	43730602	43742564	11963	1	1500015O10Rik	-92413
chr1	43651732	43651731	0	1	0.0201909	0.7801981	0.7600072	0	Distal Intergenic	43730602	43742564	11963	1	1500015O10Rik	-78871
chr1	43680924	43680923	0	1	0.9624858	0.4864425	-0.4760432	2.17E-05	Distal Intergenic	43730602	43742564	11963	1	1500015O10Rik	-49679
chr1	43681086	43681085	0	1	0.6679846	0.2290053	-0.4389793	0.0072594	Distal Intergenic	43730602	43742564	11963	1	1500015O10Rik	-49517
chr1	43879322	43879321	0	1	0.0255846	0.5348762	0.5092915	0.003005	Distal Intergenic	43750231	43827708	77478	2	Uxs1	-51614
chr1	43899408	43899407	0	1	0.229261	0.5113051	0.2820441	0.0378004	Distal Intergenic	43934007	44002971	68965	1	Tpp2	-34600
chr1	44147086	44147085	0	1	0.2962503	0.562404	0.2661536	0.0271233	Promoter (<=1kb)	44147744	44181260	33517	1	Ercc5	-659
chr1	44313003	44313002	0	1	0.0201909	0.3649295	0.3447386	0.0124753	Distal Intergenic	44204070	44218931	14862	2	Mettl21e	-94072
chr1	44330022	44330021	0	1	0.7810392	0.0598181	-0.7212211	2.97E-05	Distal Intergenic	44204070	44218931	14862	2	Mettl21e	-111091
chr1	44896047	44896046	0	1	0.3338847	0.7752839	0.4413991	0.0202947	Distal Intergenic	44739675	44744949	5275	2	4930521E06Rik	-151098
chr1	44991427	44991426	0	1	0.3778536	0.0241659	-0.3536876	0.0191872	Distal Intergenic	44739675	44744949	5275	2	4930521E06Rik	-246478
chr1	45087879	45087878	0	1	0.9381867	0.4860627	-0.452124	0.018715	Distal Intergenic	45311538	45349706	38169	1	Col3a1	-223660
chr1	45729868	45729867	0	1	0.4408237	0.699525	0.2587013	0.042744	Distal Intergenic	45795501	45823613	28113	1	Wdr75	-65634
chr1	45924021	45924020	0	1	0.5365696	0.8713342	0.3347646	0.0275633	Promoter (1-2kb)	45908070	45925594	17525	2	Slc40a1	1574
chr1	45931636	45931635	0	1	0.023824	0.6643084	0.6404844	0.0005994	Distal Intergenic	45908070	45925594	17525	2	Slc40a1	-6042
chr1	46415569	46415568	0	1	0.1446118	0.6643084	0.5196966	0.0172004	Distal Intergenic	46066738	46373550	306813	1	Dnah7b	348831
chr1	46580664	46580663	0	1	0.0241271	0.39422	0.3700928	0.0214499	Distal Intergenic	46807544	46853509	45966	2	Slc39a10	272846
chr1	47657816	47657815	0	1	0.7234186	0.3935854	-0.3298332	0.0004943	Distal Intergenic	47467021	47467125	105	2	Mir6350	-190691
chr1	50029836	50029835	0	1	0.7720575	0.4841972	-0.2878603	0.038573	Distal Intergenic	50927523	51187270	259748	1	Tmeff2	-897688
chr1	50177970	50177969	0	1	0.1875177	0.8840384	0.6965207	0.0002221	Distal Intergenic	50927523	51187270	259748	1	Tmeff2	-749554
